M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before LicenseMgr Init : M=964.871mb, Malloc-M=13mb, T=0s W=(2025-08-30 02:53:02)
STATS:: after  LicenseMgr Init : M=971.598mb, Malloc-M=14mb, T=1s W=(2025-08-30 02:53:03)
M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: before SQL_DB_Save_MainM=1442.61mb, Malloc-M=376mb, T=0s W=(2025-08-30 02:53:05)
STATS:: after  SQL_DB_Save_MainM=1442.61mb, Malloc-M=376mb, T=0s W=(2025-08-30 02:53:05)
STATS:: before SQL_DB_Save_MainM=1442.61mb, Malloc-M=376mb, T=0s W=(2025-08-30 02:53:05)
STATS:: after  SQL_DB_Save_MainM=1442.61mb, Malloc-M=376mb, T=0s W=(2025-08-30 02:53:05)
STATS:: before Analyze M=1442.61mb, Malloc-M=379mb, T=0s W=(2025-08-30 02:53:07)
STATS:: after  Analyze M=1442.61mb, Malloc-M=378mb, T=0s W=(2025-08-30 02:53:07)
STATS:: before Load VCS Message: M=1442.61mb, Malloc-M=378mb, T=0s W=(2025-08-30 02:53:07)
STATS:: after  Load VCS Message: M=1442.61mb, Malloc-M=378mb, T=0s W=(2025-08-30 02:53:07)
STATS:: before Analyze M=1442.61mb, Malloc-M=381mb, T=0s W=(2025-08-30 02:53:07)
STATS:: after  Analyze M=1442.61mb, Malloc-M=381mb, T=1s W=(2025-08-30 02:53:08)
STATS:: before Load VCS Message: M=1442.61mb, Malloc-M=381mb, T=0s W=(2025-08-30 02:53:08)
STATS:: after  Load VCS Message: M=1442.61mb, Malloc-M=381mb, T=0s W=(2025-08-30 02:53:08)
STATS:: before Elaborate : M=1442.61mb, Malloc-M=386mb, T=0s W=(2025-08-30 02:53:08)
STATS:: after  Elaborate : M=1442.61mb, Malloc-M=387mb, T=2s W=(2025-08-30 02:53:10)
STATS:: before Load VCS Message: M=1442.61mb, Malloc-M=387mb, T=0s W=(2025-08-30 02:53:10)
STATS:: after  Load VCS Message: M=1442.61mb, Malloc-M=387mb, T=1s W=(2025-08-30 02:53:11)
STATS:: before LoadCircuitModel : M=1442.61mb, Malloc-M=387mb, T=0s W=(2025-08-30 02:53:11)
STATS:: |   before VsiLib_Restore : M=1442.61mb, Malloc-M=388mb, T=0s W=(2025-08-30 02:53:11)
STATS:: |   after  VsiLib_Restore : M=1442.61mb, Malloc-M=388mb, T=0s W=(2025-08-30 02:53:11)
STATS:: after  LoadCircuitModel : M=1442.61mb, Malloc-M=388mb, T=0s W=(2025-08-30 02:53:11)
